N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
20,1234,,Exact GS,-21.1663800142928,0.0,0.0
20,1234,101.0,RBM (Euclidean),-21.14658033975941,0.0009354303626797893,0.12611125597896944
20,1234,101.0,HRBM (Hyperbolic),-21.161083894011554,0.00025021379554122095,0.03996201112732933
20,1234,202.0,RBM (Euclidean),-21.154593342482528,0.0005568581780309772,0.08056374309956027
20,1234,202.0,HRBM (Hyperbolic),-21.160974009242935,0.000255405272238946,0.04257689342824733
20,1234,303.0,RBM (Euclidean),-21.126613122598158,0.0018787762322979708,0.2319988629695331
20,1234,303.0,HRBM (Hyperbolic),-21.160781636360113,0.00026449387797558116,0.043145105640405745
20,1234,404.0,RBM (Euclidean),-21.156676013821723,0.00045846292396348236,0.06908391367903732
20,1234,404.0,HRBM (Hyperbolic),-21.159772764166068,0.00031215777673220847,0.050462465169118786
20,1234,505.0,RBM (Euclidean),-21.152248148343006,0.0006676562520492393,0.09546042161088053
20,1234,505.0,HRBM (Hyperbolic),-21.16140806184683,0.0002348985722929222,0.039231498062065384
20,4444,,Exact GS,-21.069415495078538,0.0,0.0
20,4444,101.0,RBM (Euclidean),-21.060913543475706,0.00040352099966024134,0.05920257043203492
20,4444,101.0,HRBM (Hyperbolic),-21.06450434566495,0.00023309376639965785,0.03593477788109567
20,4444,202.0,RBM (Euclidean),-21.06328892670247,0.0002907801774329776,0.04335612930907473
20,4444,202.0,HRBM (Hyperbolic),-21.065206156811055,0.00019978429247199817,0.032854470740915076
20,4444,303.0,RBM (Euclidean),-21.05786739188563,0.000548097938246333,0.07534973496660768
20,4444,303.0,HRBM (Hyperbolic),-21.065270205124303,0.00019674442108764308,0.0318939808607297
20,4444,404.0,RBM (Euclidean),-21.06280002591132,0.0003139844657182898,0.04701158930430438
20,4444,404.0,HRBM (Hyperbolic),-21.06381483424509,0.00026581946873447965,0.039207040837993645
20,4444,505.0,RBM (Euclidean),-21.06337296101392,0.00028679172737518564,0.043215076614046666
20,4444,505.0,HRBM (Hyperbolic),-21.063688369716516,0.00027182174860803466,0.040537414389859805
20,5678,,Exact GS,-21.245930239104375,0.0,0.0
20,5678,101.0,RBM (Euclidean),-21.239461017161116,0.00030449228960341797,0.04626050381875757
20,5678,101.0,HRBM (Hyperbolic),-21.24003836357534,0.00027731784218089497,0.043069729020771774
20,5678,202.0,RBM (Euclidean),-21.23646978063563,0.0004452833254310523,0.06252944812263195
