N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
16,1234,,Exact GS,-16.992466620401174,0.0,0.0
16,1234,101.0,RBM (Euclidean),-16.988272942170884,0.00024679632003840764,0.030631216708059128
16,1234,101.0,HRBM (Hyperbolic),-16.98746946337454,0.00029408073226010374,0.03740773672433306
16,1234,202.0,RBM (Euclidean),-16.98217982879475,0.0006053736538799614,0.06660208915940302
16,1234,202.0,HRBM (Hyperbolic),-16.98898564185498,0.0002048542229892538,0.027164231026119978
16,1234,303.0,RBM (Euclidean),-16.9881756910726,0.0002525195090525765,0.03079361952063664
16,1234,303.0,HRBM (Hyperbolic),-16.988663600705582,0.00022380621839953238,0.029666857661140966
16,1234,404.0,RBM (Euclidean),-16.989517850230605,0.00017353396869579555,0.02218215685627456
16,1234,404.0,HRBM (Hyperbolic),-16.988736167767108,0.00021953567527315036,0.02969041165914632
16,1234,505.0,RBM (Euclidean),-16.9898856653101,0.00015188819544151554,0.01896609057638443
16,1234,505.0,HRBM (Hyperbolic),-16.989514237792346,0.00017374655927139215,0.023199273489240113
16,4444,,Exact GS,-16.94662004356136,0.0,0.0
16,4444,101.0,RBM (Euclidean),-16.94371836811549,0.00017122443522134392,0.02140506339219428
16,4444,101.0,HRBM (Hyperbolic),-16.94306628628682,0.00020970301248292455,0.027227634457858585
16,4444,202.0,RBM (Euclidean),-16.940141678295483,0.0003822806700819905,0.0445718547870797
16,4444,202.0,HRBM (Hyperbolic),-16.943474211424846,0.00018563183268568834,0.024708490153159346
16,4444,303.0,RBM (Euclidean),-16.94419150808207,0.00014330500554369485,0.01786461263094452
16,4444,303.0,HRBM (Hyperbolic),-16.94346673749117,0.00018607286066975868,0.024795987225104454
16,4444,404.0,RBM (Euclidean),-16.942324795879934,0.0002534574841700271,0.030172814291745453
16,4444,404.0,HRBM (Hyperbolic),-16.943562433282473,0.00018042596523834653,0.023767437547235204
16,4444,505.0,RBM (Euclidean),-16.94452452316972,0.0001236541791964988,0.015902392867985782
16,4444,505.0,HRBM (Hyperbolic),-16.942212201129866,0.0002601015671658165,0.03306398291647383
16,5678,,Exact GS,-17.1011752472816,0.0,0.0
16,5678,101.0,RBM (Euclidean),-17.095890815117542,0.00030900988310128357,0.036858637666000504
16,5678,101.0,HRBM (Hyperbolic),-17.09837030155058,0.0001640206412985603,0.021312002108459183
16,5678,202.0,RBM (Euclidean),-17.080809935415527,0.001190872064147156,0.11598770001887715
16,5678,202.0,HRBM (Hyperbolic),-17.084017958583072,0.0010032812628626045,0.05625773371326659
16,5678,303.0,RBM (Euclidean),-17.09751087351682,0.00021427613668600903,0.02600706688946275
16,5678,303.0,HRBM (Hyperbolic),-17.098469036215374,0.00015824708109788446,0.020653121422810727
16,5678,404.0,RBM (Euclidean),-17.098219476328037,0.0001728402235999665,0.02179451101272889
16,5678,404.0,HRBM (Hyperbolic),-17.09814902620583,0.00017695983065542313,0.022230635016171618
16,5678,505.0,RBM (Euclidean),-17.09568740746566,0.00032090424994682696,0.038309438756016334
16,5678,505.0,HRBM (Hyperbolic),-17.09785632362778,0.00019407576414059898,0.024643668751195946
16,6666,,Exact GS,-17.079819775977594,0.0,0.0
16,6666,101.0,RBM (Euclidean),-17.071898413447055,0.0004637849013887005,0.05342455868054685
16,6666,101.0,HRBM (Hyperbolic),-17.075848019320897,0.0002325408996576503,0.030864884508787327
16,6666,202.0,RBM (Euclidean),-17.075206498678952,0.0002701010525374677,0.034261650442090286
16,6666,202.0,HRBM (Hyperbolic),-17.075500635552938,0.00025287974236885233,0.03361352556504471
16,6666,303.0,RBM (Euclidean),-17.07626087952911,0.00020836850125846668,0.026101248542772737
16,6666,303.0,HRBM (Hyperbolic),-17.07643888622438,0.00019794645362525534,0.026709297052946113
16,6666,404.0,RBM (Euclidean),-17.071150909635186,0.0005075502233694696,0.05940306676529872
16,6666,404.0,HRBM (Hyperbolic),-17.075887897412976,0.00023020609211276213,0.030657444482642404
16,6666,505.0,RBM (Euclidean),-17.0738480692498,0.0003496352307062515,0.041703103774921146
16,6666,505.0,HRBM (Hyperbolic),-17.075708181847414,0.00024072819175542865,0.03232168809279301
16,9012,,Exact GS,-16.823153170422675,0.0,0.0
16,9012,101.0,RBM (Euclidean),-16.81892987957918,0.0002510403846836402,0.03098393772796726
16,9012,101.0,HRBM (Hyperbolic),-16.819381378882706,0.00022420241329072088,0.024931763601500734
16,9012,202.0,RBM (Euclidean),-16.818983465963683,0.00024785510877488564,0.03001910482646508
16,9012,202.0,HRBM (Hyperbolic),-16.82059815349465,0.00015187503211445865,0.020390187986947694
16,9012,303.0,RBM (Euclidean),-16.80266003175636,0.0012181508697396708,0.12277732857955925
16,9012,303.0,HRBM (Hyperbolic),-16.820812555433456,0.0001391305759097529,0.01879187760636114
16,9012,404.0,RBM (Euclidean),-16.818950620978825,0.0002498074767124172,0.03070433486669799
16,9012,404.0,HRBM (Hyperbolic),-16.814615150729917,0.0005075160171381145,0.040748489830605195
16,9012,505.0,RBM (Euclidean),-16.81735380900806,0.0003447249963110067,0.04177521428135833
16,9012,505.0,HRBM (Hyperbolic),-16.820139411781707,0.00017914350600258246,0.02376043550475515
16,9999,,Exact GS,-17.128633052381637,0.0,0.0
16,9999,101.0,RBM (Euclidean),-17.12510038921636,0.00020624314587590697,0.02547965698289545
16,9999,101.0,HRBM (Hyperbolic),-17.12542000061331,0.000187583665228927,0.02474017190587574
16,9999,202.0,RBM (Euclidean),-17.1243345421149,0.00025095465899645773,0.030157826332299464
16,9999,202.0,HRBM (Hyperbolic),-17.122914351847456,0.000333867887571245,0.040253616846314344
16,9999,303.0,RBM (Euclidean),-17.124518978656027,0.00024018692636059328,0.02935201619993677
16,9999,303.0,HRBM (Hyperbolic),-17.123539046570855,0.0002973971008196935,0.037006212572521235
16,9999,404.0,RBM (Euclidean),-17.119762370580723,0.0005178861485202352,0.0556999580117008
16,9999,404.0,HRBM (Hyperbolic),-17.124402301294655,0.00024699875781356083,0.03213071933072342
16,9999,505.0,RBM (Euclidean),-17.124382795167573,0.0002481375601349088,0.028647731316368663
16,9999,505.0,HRBM (Hyperbolic),-17.124786720028002,0.00022455570983819444,0.02915039444616241
