N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
18,5678,303.0,RBM (Euclidean),-18.983569175753814,0.0006426704633775731,0.07920806662639279
18,5678,303.0,HRBM (Hyperbolic),-18.99099188892719,0.00025191450246290576,0.035124692802924073
18,5678,404.0,RBM (Euclidean),-18.99166278219284,0.00021659648106470565,0.030115036066774792
18,5678,404.0,HRBM (Hyperbolic),-18.991333806760583,0.00023391482654652946,0.0336163273146326
18,5678,505.0,RBM (Euclidean),-18.989695077181125,0.00032018292508995187,0.043401044379322684
18,5678,505.0,HRBM (Hyperbolic),-18.991993538669334,0.00019918437557413246,0.029226857514231597
18,6666,,Exact GS,-19.192266954235546,0.0,0.0
18,6666,101.0,RBM (Euclidean),-19.18827044442719,0.00020823542200023,0.028552420525898015
18,6666,101.0,HRBM (Hyperbolic),-19.187814124013205,0.000232011686423449,0.033874479732105556
18,6666,202.0,RBM (Euclidean),-19.1867272695062,0.00028864150037905223,0.038072623450943865
18,6666,202.0,HRBM (Hyperbolic),-19.188015980623124,0.0002214940852249615,0.03217520881872815
18,6666,303.0,RBM (Euclidean),-19.188865667805615,0.000177221713205694,0.02504671391369584
18,6666,303.0,HRBM (Hyperbolic),-19.183719153415222,0.0004453773408168178,0.04807185166606587
18,6666,404.0,RBM (Euclidean),-19.188362363664382,0.00020344603274196198,0.027661531852174903
18,6666,404.0,HRBM (Hyperbolic),-19.188226789225272,0.0002105100465675883,0.030986951405679974
18,6666,505.0,RBM (Euclidean),-19.18518192977954,0.00036916037448319304,0.04950857895283889
18,6666,505.0,HRBM (Hyperbolic),-19.188496381094097,0.00019646314583052544,0.02941303737799217
18,9012,,Exact GS,-18.97681700724644,0.0,0.0
18,9012,101.0,RBM (Euclidean),-18.970034203838395,0.0003574257687921756,0.04719499057199528
18,9012,101.0,HRBM (Hyperbolic),-18.972679058984586,0.00021805280939753968,0.03195760257767688
18,9012,202.0,RBM (Euclidean),-18.968988532111076,0.000412528356698215,0.05493034927337703
18,9012,202.0,HRBM (Hyperbolic),-18.97275852122411,0.0002138654770595713,0.030986054681818587
18,9012,303.0,RBM (Euclidean),-18.972996247485987,0.00020133828339031609,0.02813775029056842
18,9012,303.0,HRBM (Hyperbolic),-18.973166508083423,0.00019236625202326223,0.028946873121924455
18,9012,404.0,RBM (Euclidean),-18.971290219779917,0.0002912389082116071,0.040668121861529016
18,9012,404.0,HRBM (Hyperbolic),-18.97296108697478,0.0002031910973365711,0.02970837624872047
18,9012,505.0,RBM (Euclidean),-18.968966872845836,0.000413669710658246,0.05519250845907209
18,9012,505.0,HRBM (Hyperbolic),-18.971096509678638,0.0003014466317304978,0.03747733418140342
18,9999,,Exact GS,-19.729642431902963,0.0,0.0
18,9999,101.0,RBM (Euclidean),-19.716955796824656,0.0006430240751749476,0.08414053057794035
18,9999,101.0,HRBM (Hyperbolic),-19.722094377513226,0.00038257431252437666,0.05513038514413893
18,9999,202.0,RBM (Euclidean),-19.723038815333112,0.0003347053345058712,0.04835309070989524
18,9999,202.0,HRBM (Hyperbolic),-19.723919709535327,0.0002900570746473691,0.04408861430147226
18,9999,303.0,RBM (Euclidean),-19.721670457156044,0.0004040607818633547,0.05522180924663189
18,9999,303.0,HRBM (Hyperbolic),-19.722857866290003,0.00034387676494277987,0.04988050046455328
18,9999,404.0,RBM (Euclidean),-19.71630531000205,0.0006759941011068689,0.08577377222457017
18,9999,404.0,HRBM (Hyperbolic),-19.723035520547885,0.0003348723312083326,0.04968831656526618
18,9999,505.0,RBM (Euclidean),-19.72490422603362,0.0002401567025706791,0.03436497620890577
18,9999,505.0,HRBM (Hyperbolic),-19.72481612607894,0.0002446220624970623,0.03779115859066451
