N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
18,1234,,Exact GS,-18.989854167965447,0.0,0.0
18,1234,101.0,RBM (Euclidean),-18.983668603648248,0.0003257299536103934,0.04351557039535692
18,1234,101.0,HRBM (Hyperbolic),-18.98615396707281,0.00019485146436142066,0.029086920000509053
18,1234,202.0,RBM (Euclidean),-18.97522791754946,0.0007702139409085025,0.09192815740431115
18,1234,202.0,HRBM (Hyperbolic),-18.985207388768423,0.0002446979927240925,0.03458449607063585
18,1234,303.0,RBM (Euclidean),-18.980620986526027,0.0004862165532053274,0.06207681899422823
18,1234,303.0,HRBM (Hyperbolic),-18.985128643147185,0.00024884471341722576,0.03536893505753369
18,1234,404.0,RBM (Euclidean),-18.983844995127228,0.0003164412314632755,0.0420613581831617
18,1234,404.0,HRBM (Hyperbolic),-18.985828912008103,0.00021196876614960647,0.031051679977565527
18,1234,505.0,RBM (Euclidean),-18.975572282679302,0.0007520797769072818,0.08928268959334673
18,1234,505.0,HRBM (Hyperbolic),-18.985796204933905,0.00021369111082419705,0.03176566730587638
18,4444,,Exact GS,-19.142462863617645,0.0,0.0
18,4444,101.0,RBM (Euclidean),-19.137733329871498,0.00024707028452101846,0.03505871020752238
18,4444,101.0,HRBM (Hyperbolic),-19.13837625846836,0.00021348377052637848,0.03168460238498483
18,4444,202.0,RBM (Euclidean),-19.136816448661552,0.0002949680506798691,0.04127928674824943
18,4444,202.0,HRBM (Hyperbolic),-19.137898900814093,0.00023842087802745381,0.03438556724802311
18,4444,303.0,RBM (Euclidean),-19.138321865992907,0.0002163252270222963,0.0307591183149043
18,4444,303.0,HRBM (Hyperbolic),-19.138232184286963,0.00022101018875282652,0.031734770525417844
18,4444,404.0,RBM (Euclidean),-19.139562264173513,0.00015152697251119766,0.022194034351684877
18,4444,404.0,HRBM (Hyperbolic),-19.13920746182651,0.00017006180523008045,0.02542526330535111
18,4444,505.0,RBM (Euclidean),-19.135210953630185,0.00037883892157068136,0.052036825107165896
18,4444,505.0,HRBM (Hyperbolic),-19.134297921983457,0.0004265355870015351,0.05098964745502599
18,5678,,Exact GS,-18.9957772006896,0.0,0.0
18,5678,101.0,RBM (Euclidean),-18.98648777701927,0.0004890257225164129,0.06249157022836016
18,5678,101.0,HRBM (Hyperbolic),-18.990254311085017,0.00029074301863156416,0.039666637030734364
18,5678,202.0,RBM (Euclidean),-18.99234359623868,0.0001807561972665295,0.0256039962620207
18,5678,202.0,HRBM (Hyperbolic),-18.990727389648548,0.00026583861179775906,0.03749927068747638
