N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
22,1234,,Exact GS,-23.306757028336385,0.0,0.0
22,1234,101.0,RBM (Euclidean),-23.295570611066076,0.000479964555202119,0.07404066135188714
22,1234,101.0,HRBM (Hyperbolic),-23.301608780329154,0.0002208907914975755,0.038055352521951136
22,1234,202.0,RBM (Euclidean),-23.299340121185566,0.00031822990825372896,0.052164544220886455
22,1234,202.0,HRBM (Hyperbolic),-23.299089034534745,0.00032900303514199686,0.053404983413770424
22,1234,303.0,RBM (Euclidean),-23.295673343296137,0.0004755567248919383,0.07268479081540136
22,1234,303.0,HRBM (Hyperbolic),-23.297273198184616,0.00040691333162475415,0.06136808791336534
22,1234,404.0,RBM (Euclidean),-23.29551628701899,0.0004822953834258257,0.07297348580880225
22,1234,404.0,HRBM (Hyperbolic),-23.30094967020634,0.0002491705784286043,0.04344888805019309
22,1234,505.0,RBM (Euclidean),-23.302782556159897,0.00017052875145415729,0.028586858694552575
22,1234,505.0,HRBM (Hyperbolic),-23.298190925149605,0.0003675373273238059,0.057882550332010396
22,4444,,Exact GS,-23.524750410298843,0.0,0.0
22,4444,101.0,RBM (Euclidean),-23.509556621627503,0.0006458639690684306,0.10005321807329892
22,4444,101.0,HRBM (Hyperbolic),-23.517422451250695,0.0003114999700459971,0.05367250959307057
22,4444,202.0,RBM (Euclidean),-23.507943852705406,0.0007144202297712529,0.10935170896914315
22,4444,202.0,HRBM (Hyperbolic),-23.51760511641364,0.00030373516235367956,0.05303123993303416
22,4444,303.0,RBM (Euclidean),-23.51743349010296,0.00031103072586394426,0.05174927030725485
22,4444,303.0,HRBM (Hyperbolic),-23.517946356902023,0.000289229567929502,0.050628906194106094
22,4444,404.0,RBM (Euclidean),-23.515453021599598,0.0003952173152568312,0.06341825290485303
22,4444,404.0,HRBM (Hyperbolic),-23.518181093000678,0.00027925130696771936,0.04896873410984881
22,4444,505.0,RBM (Euclidean),-23.51263562689081,0.0005149803163365447,0.08375621621030405
22,4444,505.0,HRBM (Hyperbolic),-23.517299768372368,0.000316715025516838,0.054823760585918535
22,5678,,Exact GS,-23.227276106212592,0.0,0.0
22,5678,101.0,RBM (Euclidean),-23.221080784383084,0.0002667261456392517,0.04297370615302043
22,5678,101.0,HRBM (Hyperbolic),-23.22201192221904,0.00022663802546116064,0.04004462201191927
22,5678,202.0,RBM (Euclidean),-23.218646404651825,0.0003715330855545096,0.05942701382377891
22,5678,202.0,HRBM (Hyperbolic),-23.222423209469238,0.0002089309448582634,0.0373485835940528
22,5678,303.0,RBM (Euclidean),-23.21183437444516,0.0006648102729231079,0.09676373892318679
22,5678,303.0,HRBM (Hyperbolic),-23.221849812801832,0.00023361729485400738,0.04180902139569298
22,5678,404.0,RBM (Euclidean),-23.220530265930364,0.0002904275237174253,0.046837378999271095
