N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
22,5678,404.0,HRBM (Hyperbolic),-23.221736151797344,0.00023851072290676973,0.04206472147200202
22,5678,505.0,RBM (Euclidean),-23.21911625227075,0.00035130481527527495,0.05712528027981989
22,5678,505.0,HRBM (Hyperbolic),-23.221752794257775,0.00023779421786527874,0.04142089961885631
22,6666,,Exact GS,-23.375016600372078,0.0,0.0
22,6666,101.0,RBM (Euclidean),-23.36684681672424,0.000349509212656854,0.059355224021601316
22,6666,101.0,HRBM (Hyperbolic),-23.368342886030433,0.00028550629313942066,0.05040783187780562
22,6666,202.0,RBM (Euclidean),-23.361130476558266,0.0005940583508972096,0.09304382291384172
22,6666,202.0,HRBM (Hyperbolic),-23.368479731292606,0.00027965195453029065,0.04939712419229636
22,6666,303.0,RBM (Euclidean),-23.3532371674993,0.0009317397820555816,0.13589618517551116
22,6666,303.0,HRBM (Hyperbolic),-23.366994035000232,0.0003432111090658244,0.05800175969011434
22,6666,404.0,RBM (Euclidean),-23.367290905665698,0.00033051076876057517,0.05489611889106527
22,6666,404.0,HRBM (Hyperbolic),-23.367703113264955,0.0003128762315833447,0.053778789992179554
22,6666,505.0,RBM (Euclidean),-23.367075166115605,0.0003397402616752277,0.05677281055477579
22,6666,505.0,HRBM (Hyperbolic),-23.36914415518599,0.0002512274231281404,0.04562318920875441
22,9012,,Exact GS,-23.425041363706534,0.0,0.0
22,9012,101.0,RBM (Euclidean),-23.41031128476078,0.0006288176279840064,0.09783103204517829
22,9012,101.0,HRBM (Hyperbolic),-23.416023547080254,0.00038496481121485864,0.0628285905240773
22,9012,202.0,RBM (Euclidean),-23.418463176964174,0.00028081857531109543,0.04683767179631104
22,9012,202.0,HRBM (Hyperbolic),-23.417833056916,0.00030771799625091753,0.052892483986966
22,9012,303.0,RBM (Euclidean),-23.405059608581688,0.0008530083176631832,0.12837884436532931
22,9012,303.0,HRBM (Hyperbolic),-23.41807752854322,0.0002972816591950444,0.05168158238120668
22,9012,404.0,RBM (Euclidean),-23.418080698125763,0.00029714635174795566,0.049966523842499555
22,9012,404.0,HRBM (Hyperbolic),-23.418915121806645,0.00026152533968970066,0.04686321802398652
22,9012,505.0,RBM (Euclidean),-23.417839643825573,0.0003074368053035056,0.05154531596360812
22,9012,505.0,HRBM (Hyperbolic),-23.4177306515651,0.00031208961503731783,0.054143461573175955
22,9999,,Exact GS,-23.80634516756028,0.0,0.0
22,9999,101.0,RBM (Euclidean),-23.79491038020585,0.0004803251937224465,0.0793028804265532
22,9999,101.0,HRBM (Hyperbolic),-23.79769861509806,0.00036320369218214964,0.0654290737560359
22,9999,202.0,RBM (Euclidean),-23.79675514445986,0.00040283474985022377,0.06766397919011524
22,9999,202.0,HRBM (Hyperbolic),-23.800072309887206,0.00026349519965889384,0.0499857747470287
22,9999,303.0,RBM (Euclidean),-23.792574114625992,0.0005784614495572966,0.09159309781205138
22,9999,303.0,HRBM (Hyperbolic),-23.799738291523667,0.0002775258440601141,0.051611524135068976
22,9999,404.0,RBM (Euclidean),-23.79934497063347,0.0002940475271420222,0.05067527702942698
22,9999,404.0,HRBM (Hyperbolic),-23.79878160648459,0.00031771198066969056,0.057945748959696175
22,9999,505.0,RBM (Euclidean),-23.791681480067755,0.0006159571067845871,0.09714162184729958
22,9999,505.0,HRBM (Hyperbolic),-23.79824048116966,0.00034044227845877334,0.062184137840176845
