N,seed_qsk,seed_nqs,schmidt_index,exact_lambda,rbm_lambda,hrbm_lambda
14,1234,101,1,0.8852192628171294,0.8855355772485268,0.886809870685488
14,1234,101,2,0.05766439708068455,0.057231141506165685,0.05737271374628739
14,1234,101,3,0.024921359468167086,0.02506543560464673,0.024556590566266488
14,1234,101,4,0.01434430659805173,0.014621878290153214,0.014254017111473683
14,1234,101,5,0.010673765852765991,0.01073503558347686,0.010802963362203065
14,1234,101,6,0.0024543177589401435,0.002386529130576859,0.002138682346899962
14,1234,101,7,0.0019002418722319835,0.001873431568738593,0.0015578484034010638
14,1234,101,8,0.0006326595407028298,0.0006202473772477605,0.0005833925102724725
14,1234,101,9,0.0005623560009197172,0.0004422192742105264,0.0005546631013783783
14,1234,101,10,0.00044387266345866945,0.0003907394396260541,0.00039170095202059927
14,1234,101,11,0.0003484842859204932,0.0003298868869451449,0.0002658995854002941
14,1234,101,12,0.00022760326944712406,0.00019211536897589018,0.00020237311449926832
14,1234,101,13,0.0002009827546147135,0.00015355717005796884,0.0001489376259549741
14,1234,101,14,0.00013170350652269442,0.00013935857157117138,0.00011708638325900106
14,1234,101,15,8.613424154779942e-05,8.495744589133101e-05,6.890799643756723e-05
14,1234,101,16,4.95409930688075e-05,4.90607066880074e-05,5.0624009636924303e-05
14,1234,101,17,3.241189371486009e-05,3.4938160674210505e-05,3.044103784733172e-05
14,1234,101,18,2.3325193407033723e-05,2.396463473326471e-05,1.7732218197512988e-05
14,1234,101,19,1.8830859475406187e-05,1.647509155446068e-05,1.601807847921818e-05
14,1234,101,20,1.259247984398592e-05,1.3914224913697995e-05,1.3102470432931394e-05
14,1234,101,21,9.955288244384386e-06,1.2289679626408113e-05,7.953871958678596e-06
14,1234,101,22,8.833232309873386e-06,9.598536850742331e-06,7.116104622455355e-06
14,1234,101,23,7.299252693669101e-06,8.201630665590543e-06,6.38754337822771e-06
14,1234,101,24,4.239115933718086e-06,6.003366004912724e-06,4.580256748559539e-06
14,1234,101,25,3.3871861819741265e-06,4.566405377115711e-06,3.6818336095014167e-06
14,1234,101,26,2.895442068347867e-06,3.2515208894434404e-06,2.850850543512674e-06
14,1234,101,27,2.5447986303572955e-06,2.3837259551429736e-06,2.296902522484254e-06
14,1234,101,28,2.160044877476187e-06,2.1389802668566683e-06,1.672027153770708e-06
14,1234,101,29,1.7563213104791882e-06,1.623432995338408e-06,1.4408346568614547e-06
14,1234,101,30,1.3386670781199958e-06,1.3306456612433284e-06,1.2738058579092417e-06
14,1234,101,31,1.284303522281403e-06,1.1095412954348257e-06,9.744354773298825e-07
14,1234,101,32,1.2396553446061207e-06,9.112499665377746e-07,9.500157338596265e-07
14,1234,101,33,9.98982912337945e-07,8.238963294641774e-07,8.246029300369272e-07
