N,seed_qsk,seed_nqs,schmidt_index,exact_lambda,rbm_lambda,hrbm_lambda
14,1234,101,34,9.327500267990373e-07,7.945167915263994e-07,7.743873784414467e-07
14,1234,101,35,6.562854296156728e-07,6.965695538180438e-07,6.218308074587722e-07
14,1234,101,36,4.305854263554984e-07,6.899463521341816e-07,5.639208918318889e-07
14,1234,101,37,3.418677947235155e-07,5.693534451203867e-07,3.538186296098327e-07
14,1234,101,38,2.6780220582678924e-07,4.409554970079257e-07,3.379576093462307e-07
14,1234,101,39,2.346226061008126e-07,3.7923686896769244e-07,2.937285603925221e-07
14,1234,101,40,1.6938590708424562e-07,2.905303754067128e-07,2.521420353811688e-07
14,1234,101,41,1.2408782661863504e-07,2.291588694140851e-07,2.0176423509263251e-07
14,1234,101,42,1.137817471875773e-07,1.633228753600907e-07,1.4723421731085056e-07
14,1234,101,43,1.0206596773957382e-07,1.4950068969644017e-07,1.4200518606937432e-07
14,1234,101,44,9.116039834706804e-08,1.4581342218606974e-07,1.052849396917724e-07
14,1234,101,45,6.389835760146172e-08,1.1590557138963572e-07,9.011961102283973e-08
14,1234,101,46,5.834442906473875e-08,1.0638113948026696e-07,8.356564300066078e-08
14,1234,101,47,5.023601051939928e-08,9.892025535080138e-08,7.514876105114474e-08
14,1234,101,48,4.0268659824160876e-08,6.476032534286904e-08,6.563019219804478e-08
14,1234,101,49,3.884381333601487e-08,5.14756698671534e-08,5.699861861603192e-08
14,1234,101,50,2.991067522581415e-08,4.8534530274386205e-08,4.8084190227713244e-08
14,1234,101,51,2.8846912034388547e-08,3.644419463201096e-08,3.48150465633651e-08
14,1234,101,52,1.8298981423892925e-08,3.470926712519538e-08,3.154920075106305e-08
14,1234,101,53,1.7145231229425587e-08,3.139442204401563e-08,2.2849870126978168e-08
14,1234,101,54,1.5525850761488994e-08,2.533449757785935e-08,1.988438679543281e-08
14,1234,101,55,1.3845252168250304e-08,1.7718573780360543e-08,1.7890939012554482e-08
14,1234,101,56,1.0484863654708657e-08,1.693577499329318e-08,1.4118138165188022e-08
14,1234,101,57,1.0138633947425318e-08,1.571911439260736e-08,1.3030380014284068e-08
14,1234,101,58,8.57858035267071e-09,1.1821773887675329e-08,1.0877398841990274e-08
14,1234,101,59,7.740979938208577e-09,1.163125212608873e-08,7.366225956088777e-09
14,1234,101,60,5.442187323780513e-09,7.802457624820558e-09,6.675000663077962e-09
14,1234,101,61,4.723428639851915e-09,7.080936623280859e-09,5.4197055998164845e-09
14,1234,101,62,4.3920340407911395e-09,6.39022830521956e-09,4.81915602554134e-09
14,1234,101,63,3.717237091502125e-09,6.0132990643285855e-09,4.372417908337524e-09
14,1234,101,64,3.632281080295094e-09,5.386106943828694e-09,3.2046863835363196e-09
14,1234,101,65,2.663569384024056e-09,4.497366597152723e-09,3.0228031353384417e-09
14,1234,101,66,2.5460370601358555e-09,4.238799286173842e-09,2.9521787663462197e-09
14,1234,101,67,2.384380935989681e-09,3.560129432237645e-09,2.1871145335318214e-09
14,1234,101,68,2.3433782678655297e-09,3.117785710118382e-09,1.8986028669778987e-09
14,1234,101,69,1.848593313197455e-09,2.946023600829951e-09,1.5250259768440408e-09
14,1234,101,70,1.4894366483922888e-09,2.298078553075395e-09,1.245606274718565e-09
14,1234,101,71,1.3312095222376405e-09,1.758604509689066e-09,1.1025217961851028e-09
14,1234,101,72,1.0055481751685508e-09,1.6376600628725768e-09,9.203951619717416e-10
14,1234,101,73,6.943179234987564e-10,1.5504856528312576e-09,8.325597904520663e-10
14,1234,101,74,6.870836199028469e-10,1.2741717282663953e-09,8.10356384660736e-10
14,1234,101,75,5.964976546685337e-10,1.2689774645605591e-09,6.979689888522274e-10
14,1234,101,76,3.957907272771849e-10,1.0349512325724942e-09,5.073164703153306e-10
14,1234,101,77,3.759179111263124e-10,9.961029251249494e-10,4.704149484344067e-10
14,1234,101,78,2.9205260786476667e-10,8.578625548857077e-10,4.452905381055966e-10
14,1234,101,79,2.308644738651301e-10,6.362681608152653e-10,3.9061180499172497e-10
14,1234,101,80,2.020604058897103e-10,4.156040822700286e-10,2.9645953294257876e-10
14,1234,101,81,1.7296407274016492e-10,3.712287482176108e-10,2.723011019169582e-10
14,1234,101,82,1.5921692826092306e-10,3.5715815586718166e-10,2.407524589706138e-10
14,1234,101,83,1.4983527802472101e-10,3.163254346930091e-10,2.0929441294997614e-10
14,1234,101,84,1.1613074763867601e-10,3.023318082868654e-10,1.6744512387906558e-10
14,1234,101,85,1.0344000959867053e-10,2.695909468829863e-10,1.492057611166219e-10
14,1234,101,86,6.439592217380566e-11,2.3070881679598521e-10,1.4352057210300092e-10
14,1234,101,87,5.925605462472842e-11,1.931967749503148e-10,9.763017638534255e-11
14,1234,101,88,5.284569730130219e-11,1.2328613881774835e-10,9.090487180826407e-11
14,1234,101,89,3.924303676386185e-11,8.912059687114001e-11,7.730076815393703e-11
14,1234,101,90,3.5707081235866087e-11,8.488781435804675e-11,6.230131557031955e-11
14,1234,101,91,2.267279019523126e-11,7.542915684180156e-11,5.358028678169428e-11
14,1234,101,92,2.1695347506793094e-11,6.386427651335934e-11,4.872204917614955e-11
14,1234,101,93,1.4571954602981054e-11,5.1557602595092357e-11,3.84744480708458e-11
14,1234,101,94,1.1247880842899305e-11,3.576485995609899e-11,3.072503662155516e-11
14,1234,101,95,1.0132350563306756e-11,3.243302740950818e-11,2.4720501485829134e-11
14,1234,101,96,1.003905598968006e-11,3.167710554834999e-11,2.1497585525251674e-11
14,1234,101,97,8.462218575340665e-12,2.0533130641390738e-11,1.635417930892145e-11
14,1234,101,98,6.316417246176733e-12,1.8700106973581526e-11,1.404609573180922e-11
14,1234,101,99,4.671370752798759e-12,1.464644604513293e-11,9.845101526756785e-12
14,1234,101,100,4.6133050247783574e-12,1.238682763267358e-11,8.57593810112109e-12
14,1234,101,101,3.114063922501827e-12,1.1793393884267624e-11,7.210750394560602e-12
14,1234,101,102,2.3080498893345173e-12,8.299499164881283e-12,4.8469396637539284e-12
14,1234,101,103,2.2632549255290984e-12,5.942404803371861e-12,4.540685458563202e-12
14,1234,101,104,1.3611451103074866e-12,5.400831330321532e-12,3.1833239134324814e-12
14,1234,101,105,1.2378493281384836e-12,4.831656959286892e-12,3.0300861226167358e-12
14,1234,101,106,9.35839219303674e-13,4.709059020079258e-12,2.229726385118952e-12
14,1234,101,107,7.715004574967e-13,2.733760432011326e-12,1.8189320838511724e-12
14,1234,101,108,4.804757295525052e-13,2.383890241100559e-12,1.3987785259361206e-12
14,1234,101,109,4.4849685771990087e-13,1.6249097468911607e-12,1.1015928602551199e-12
14,1234,101,110,4.2808419528393614e-13,1.4337769058571946e-12,9.368023041377605e-13
14,1234,101,111,2.4402501616081384e-13,1.314822783907076e-12,5.714150236616144e-13
14,1234,101,112,2.359040805794677e-13,1.1782986351328504e-12,4.103629211910284e-13
14,1234,101,113,1.2709485887861923e-13,1.02770028213227e-12,3.6930469868702363e-13
14,1234,101,114,1.0824830991787921e-13,6.306236448116269e-13,2.7894281279173195e-13
14,1234,101,115,8.168622192806256e-14,5.408307877868883e-13,1.8739251529414776e-13
14,1234,101,116,6.348045634053965e-14,4.092184117539467e-13,1.0800950857822074e-13
14,1234,101,117,3.916579789150796e-14,1.8357691167253716e-13,9.489410171158997e-14
14,1234,101,118,3.903807610611877e-14,1.3306087670445048e-13,6.847869018831912e-14
14,1234,101,119,1.9233114409001122e-14,1.1271882709094563e-13,3.6415556467483374e-14
14,1234,101,120,1.159791527509228e-14,1.0334702025869953e-13,2.5432841420659372e-14
14,1234,101,121,1.0476264232810458e-14,4.803128311308955e-14,1.9730703164883564e-14
14,1234,101,122,5.200610287729409e-15,2.7661348601653647e-14,7.532251718125143e-15
14,1234,101,123,3.8865845493546425e-15,2.2590861211749e-14,4.62480418561908e-15
14,1234,101,124,3.848999337056727e-15,1.209953987288934e-14,2.2363786251592747e-15
14,1234,101,125,9.99999999999997e-16,8.740599550740696e-15,9.999999999999977e-16
14,1234,101,126,9.99999999999997e-16,2.1980213878581073e-15,9.999999999999977e-16
14,1234,101,127,9.99999999999997e-16,9.999999999999977e-16,9.999999999999977e-16
14,1234,101,128,9.99999999999997e-16,9.999999999999977e-16,9.999999999999977e-16
14,1234,202,1,0.8852192628171294,0.8848837552844779,0.8857378648775159
14,1234,202,2,0.05766439708068455,0.05781511709020256,0.058165977091606404
14,1234,202,3,0.024921359468167086,0.025471898846898433,0.024774618328874135
14,1234,202,4,0.01434430659805173,0.014404905775736332,0.014140815802577509
14,1234,202,5,0.010673765852765991,0.01080267879436568,0.010559839181849377
14,1234,202,6,0.0024543177589401435,0.0022149106029517806,0.0024357566293750606
14,1234,202,7,0.0019002418722319835,0.0017858097045361852,0.0016744752398359913
14,1234,202,8,0.0006326595407028298,0.0006137748566751835,0.0005910289652482425
14,1234,202,9,0.0005623560009197172,0.0004154386889394948,0.0005414679948313134
14,1234,202,10,0.00044387266345866945,0.00035441411250034796,0.00039161524995326983
14,1234,202,11,0.0003484842859204932,0.0003501056264491876,0.000316693286577533
14,1234,202,12,0.00022760326944712406,0.00024907043094985403,0.00015515259104791502
14,1234,202,13,0.0002009827546147135,0.00021607269869612042,0.0001446867276466687
14,1234,202,14,0.00013170350652269442,0.00016080970859551238,0.0001236693773878082
14,1234,202,15,8.613424154779942e-05,7.229170926000209e-05,7.15426932229852e-05
14,1234,202,16,4.95409930688075e-05,4.1249981251039574e-05,4.5970786684690374e-05
14,1234,202,17,3.241189371486009e-05,3.11339850843511e-05,2.577732921390206e-05
14,1234,202,18,2.3325193407033723e-05,2.9809353425821675e-05,1.9929316443334035e-05
14,1234,202,19,1.8830859475406187e-05,2.0694896936861828e-05,1.7491135549716656e-05
14,1234,202,20,1.259247984398592e-05,1.3434071259452744e-05,1.3640189691517919e-05
14,1234,202,21,9.955288244384386e-06,8.79948885903687e-06,9.296529925316836e-06
14,1234,202,22,8.833232309873386e-06,8.52750429214193e-06,8.727817233157902e-06
14,1234,202,23,7.299252693669101e-06,6.5608207421200025e-06,6.197013071337892e-06
14,1234,202,24,4.239115933718086e-06,5.7356009952041e-06,5.316268568850362e-06
14,1234,202,25,3.3871861819741265e-06,4.960452852392421e-06,3.6364034102846e-06
14,1234,202,26,2.895442068347867e-06,3.0411673825820114e-06,3.6124112068291717e-06
14,1234,202,27,2.5447986303572955e-06,2.208092787897937e-06,2.690511341838371e-06
14,1234,202,28,2.160044877476187e-06,1.9756210305585446e-06,2.5703101663958664e-06
14,1234,202,29,1.7563213104791882e-06,1.7931236888712248e-06,1.5376867442048357e-06
14,1234,202,30,1.3386670781199958e-06,1.6109142334515174e-06,1.2079738586547731e-06
14,1234,202,31,1.284303522281403e-06,1.3033020615171187e-06,1.1566743649729322e-06
14,1234,202,32,1.2396553446061207e-06,9.179219635459832e-07,1.08600588025079e-06
14,1234,202,33,9.98982912337945e-07,8.979033297037997e-07,9.048098799870564e-07
14,1234,202,34,9.327500267990373e-07,7.7596918702531e-07,7.578562599822564e-07
14,1234,202,35,6.562854296156728e-07,6.423637256057694e-07,5.656643597944719e-07
14,1234,202,36,4.305854263554984e-07,5.532801968579516e-07,4.716881306439812e-07
14,1234,202,37,3.418677947235155e-07,4.1062419851438473e-07,3.667167737173817e-07
14,1234,202,38,2.6780220582678924e-07,3.254013735413194e-07,3.6015439397493927e-07
14,1234,202,39,2.346226061008126e-07,2.424482428893394e-07,2.5441153863683276e-07
14,1234,202,40,1.6938590708424562e-07,2.1596335717896894e-07,1.8657335159124214e-07
14,1234,202,41,1.2408782661863504e-07,1.6984070885249508e-07,1.7286671379962343e-07
14,1234,202,42,1.137817471875773e-07,1.5596304930993605e-07,1.4320132987355356e-07
14,1234,202,43,1.0206596773957382e-07,1.2548387133972802e-07,1.3491005410771034e-07
14,1234,202,44,9.116039834706804e-08,1.2174766576129547e-07,9.715682800248657e-08
14,1234,202,45,6.389835760146172e-08,8.515446710105191e-08,8.270589688046992e-08
14,1234,202,46,5.834442906473875e-08,7.732235569337073e-08,6.921878077082485e-08
14,1234,202,47,5.023601051939928e-08,6.569611154823047e-08,6.19254546327914e-08
14,1234,202,48,4.0268659824160876e-08,5.091553681539285e-08,4.778121264677087e-08
14,1234,202,49,3.884381333601487e-08,3.362209001852636e-08,4.3360538585646996e-08
14,1234,202,50,2.991067522581415e-08,3.1639595502921945e-08,3.484151179207351e-08
14,1234,202,51,2.8846912034388547e-08,3.0798974059026075e-08,3.027799339838603e-08
14,1234,202,52,1.8298981423892925e-08,2.5355649159976667e-08,2.30863340909341e-08
14,1234,202,53,1.7145231229425587e-08,1.9558025265493944e-08,2.233548621198698e-08
14,1234,202,54,1.5525850761488994e-08,1.70180922443376e-08,1.7120748354289504e-08
14,1234,202,55,1.3845252168250304e-08,1.4464998574036335e-08,1.5391007656506002e-08
14,1234,202,56,1.0484863654708657e-08,1.415117804493872e-08,1.1253175028054503e-08
14,1234,202,57,1.0138633947425318e-08,1.3934951482058545e-08,1.086527069039504e-08
14,1234,202,58,8.57858035267071e-09,1.1138502855184734e-08,8.77902981500999e-09
14,1234,202,59,7.740979938208577e-09,8.936984233852941e-09,8.132396466690544e-09
14,1234,202,60,5.442187323780513e-09,6.177229371992667e-09,6.546638471835645e-09
14,1234,202,61,4.723428639851915e-09,6.0233150040947904e-09,5.591836318587715e-09
14,1234,202,62,4.3920340407911395e-09,5.628446271562081e-09,4.904657262835532e-09
14,1234,202,63,3.717237091502125e-09,4.97346245311326e-09,4.597655355752678e-09
14,1234,202,64,3.632281080295094e-09,4.354076613085107e-09,4.100890169567526e-09
14,1234,202,65,2.663569384024056e-09,4.220794752742289e-09,3.6629544133949722e-09
14,1234,202,66,2.5460370601358555e-09,3.319395682679864e-09,3.613094974213227e-09
14,1234,202,67,2.384380935989681e-09,2.8317371294845017e-09,2.450199132796998e-09
14,1234,202,68,2.3433782678655297e-09,2.1906063481899876e-09,2.0439290776697615e-09
14,1234,202,69,1.848593313197455e-09,2.176094155791252e-09,1.5291389441404077e-09
14,1234,202,70,1.4894366483922888e-09,1.8382398229763936e-09,1.3382776743591506e-09
14,1234,202,71,1.3312095222376405e-09,1.2084843080332126e-09,1.276476764186328e-09
14,1234,202,72,1.0055481751685508e-09,1.121268873539891e-09,9.796243518115019e-10
14,1234,202,73,6.943179234987564e-10,1.0944061629398717e-09,9.013492204799199e-10
14,1234,202,74,6.870836199028469e-10,1.0668754338741555e-09,6.835991823494059e-10
14,1234,202,75,5.964976546685337e-10,7.033168941053709e-10,6.291588388541636e-10
14,1234,202,76,3.957907272771849e-10,6.56046780175663e-10,5.433347057496701e-10
14,1234,202,77,3.759179111263124e-10,6.12174138718363e-10,4.579649284760474e-10
14,1234,202,78,2.9205260786476667e-10,4.688072381072969e-10,4.271599803979434e-10
14,1234,202,79,2.308644738651301e-10,4.106938119662675e-10,3.422132857031781e-10
14,1234,202,80,2.020604058897103e-10,3.5736307204467645e-10,3.097958732671275e-10
14,1234,202,81,1.7296407274016492e-10,2.7111365137690053e-10,2.783160725267271e-10
14,1234,202,82,1.5921692826092306e-10,2.0837466389782402e-10,2.1755333761234428e-10
14,1234,202,83,1.4983527802472101e-10,1.8211073417058393e-10,2.0580149178145639e-10
14,1234,202,84,1.1613074763867601e-10,1.7946946442854907e-10,1.776481812751666e-10
14,1234,202,85,1.0344000959867053e-10,1.3822107466000315e-10,1.2251850244593437e-10
14,1234,202,86,6.439592217380566e-11,9.485009293155716e-11,1.0039117308986781e-10
14,1234,202,87,5.925605462472842e-11,8.913466336836506e-11,8.641282577708414e-11
14,1234,202,88,5.284569730130219e-11,7.760960192515621e-11,6.837815433092785e-11
14,1234,202,89,3.924303676386185e-11,7.226204000605875e-11,5.266006617330022e-11
14,1234,202,90,3.5707081235866087e-11,5.85894668225127e-11,4.520227992425453e-11
14,1234,202,91,2.267279019523126e-11,4.297584449171496e-11,3.906613528541588e-11
14,1234,202,92,2.1695347506793094e-11,3.677783656471542e-11,3.5916441877568615e-11
14,1234,202,93,1.4571954602981054e-11,3.516753645249702e-11,3.0604788077507425e-11
14,1234,202,94,1.1247880842899305e-11,2.576584713192064e-11,2.315156792404383e-11
14,1234,202,95,1.0132350563306756e-11,2.2802722037361515e-11,1.9552772036681477e-11
14,1234,202,96,1.003905598968006e-11,2.1833210077787498e-11,1.3895421870467785e-11
14,1234,202,97,8.462218575340665e-12,1.5126818440275804e-11,1.1245178667955597e-11
14,1234,202,98,6.316417246176733e-12,1.4769568032900386e-11,1.0618847118053202e-11
14,1234,202,99,4.671370752798759e-12,9.833069123591526e-12,8.474598626311809e-12
14,1234,202,100,4.6133050247783574e-12,8.760831098067878e-12,7.412334875529786e-12
14,1234,202,101,3.114063922501827e-12,6.8369039976550855e-12,6.819369164219272e-12
14,1234,202,102,2.3080498893345173e-12,5.336151977298563e-12,5.2150470248577035e-12
14,1234,202,103,2.2632549255290984e-12,4.898273473060945e-12,4.438092457786727e-12
14,1234,202,104,1.3611451103074866e-12,3.988126955303722e-12,3.611210850722742e-12
14,1234,202,105,1.2378493281384836e-12,2.9058632988874164e-12,2.591672871022739e-12
14,1234,202,106,9.35839219303674e-13,2.5198146916696497e-12,1.7010448703994936e-12
14,1234,202,107,7.715004574967e-13,1.9185986042569573e-12,1.2128765821558684e-12
14,1234,202,108,4.804757295525052e-13,1.8360561834032442e-12,1.0545775409064688e-12
14,1234,202,109,4.4849685771990087e-13,1.33572915821494e-12,7.362583202114724e-13
14,1234,202,110,4.2808419528393614e-13,1.237196530277865e-12,5.605265225903519e-13
14,1234,202,111,2.4402501616081384e-13,7.235082761968114e-13,4.834418775296241e-13
14,1234,202,112,2.359040805794677e-13,4.226928700804658e-13,4.1884211846019166e-13
14,1234,202,113,1.2709485887861923e-13,3.338672872855258e-13,3.479090329571624e-13
14,1234,202,114,1.0824830991787921e-13,2.1016629481489788e-13,2.1193070780696635e-13
14,1234,202,115,8.168622192806256e-14,1.9233220268693017e-13,1.360904274208273e-13
14,1234,202,116,6.348045634053965e-14,1.458099024371755e-13,9.519202113737975e-14
14,1234,202,117,3.916579789150796e-14,8.543804188635387e-14,8.579984306019221e-14
14,1234,202,118,3.903807610611877e-14,7.055138805316111e-14,5.429936614576098e-14
14,1234,202,119,1.9233114409001122e-14,5.880945321252911e-14,4.149409190672618e-14
14,1234,202,120,1.159791527509228e-14,2.7014799022152297e-14,2.5757009958579685e-14
14,1234,202,121,1.0476264232810458e-14,1.626445731776971e-14,1.1908236380255549e-14
14,1234,202,122,5.200610287729409e-15,5.238403806988041e-15,1.039349826245534e-14
14,1234,202,123,3.8865845493546425e-15,4.6850203828049106e-15,5.226424037650001e-15
14,1234,202,124,3.848999337056727e-15,3.0646780479692526e-15,1.2603065062744442e-15
14,1234,202,125,9.99999999999997e-16,1.140909889166163e-15,1.1829803092716578e-15
14,1234,202,126,9.99999999999997e-16,9.999999999999983e-16,9.999999999999973e-16
14,1234,202,127,9.99999999999997e-16,9.999999999999983e-16,9.999999999999973e-16
14,1234,202,128,9.99999999999997e-16,9.999999999999983e-16,9.999999999999973e-16
14,1234,303,1,0.8852192628171294,0.8862885251337973,0.8850581776485493
14,1234,303,2,0.05766439708068455,0.057241177923772237,0.05797373104306692
14,1234,303,3,0.024921359468167086,0.024793751274100256,0.025028391447447076
14,1234,303,4,0.01434430659805173,0.014681978792872268,0.014349284228538383
14,1234,303,5,0.010673765852765991,0.010431720419509256,0.010696976504914133
14,1234,303,6,0.0024543177589401435,0.002252056452562811,0.0024428323627997224
14,1234,303,7,0.0019002418722319835,0.0019458070655354134,0.0018165574508034413
14,1234,303,8,0.0006326595407028298,0.0006207330378340195,0.0005902662175254731
14,1234,303,9,0.0005623560009197172,0.00039129135008430935,0.000542384483598614
14,1234,303,10,0.00044387266345866945,0.0003353210834121702,0.00041882611315905745
14,1234,303,11,0.0003484842859204932,0.0002877291372077011,0.00033078347592702237
14,1234,303,12,0.00022760326944712406,0.00019846947993202983,0.00020989319379812057
14,1234,303,13,0.0002009827546147135,0.00014431598385338,0.00017395807734547436
14,1234,303,14,0.00013170350652269442,9.67357611416201e-05,0.0001151460229665294
14,1234,303,15,8.613424154779942e-05,7.594050123478985e-05,8.070482916313269e-05
14,1234,303,16,4.95409930688075e-05,5.0754173172413925e-05,4.9899344216462975e-05
14,1234,303,17,3.241189371486009e-05,3.581982917452991e-05,2.6797517016617816e-05
14,1234,303,18,2.3325193407033723e-05,3.444253911043973e-05,1.9936245884304918e-05
14,1234,303,19,1.8830859475406187e-05,2.2810741711947005e-05,1.7009984340011217e-05
14,1234,303,20,1.259247984398592e-05,1.7364743941892012e-05,1.1518798404986444e-05
14,1234,303,21,9.955288244384386e-06,9.889882187872813e-06,7.642071074132061e-06
14,1234,303,22,8.833232309873386e-06,8.046206267502111e-06,6.206480660721947e-06
14,1234,303,23,7.299252693669101e-06,7.221395901132779e-06,6.090456489056241e-06
14,1234,303,24,4.239115933718086e-06,4.671787204631482e-06,4.1792657252344215e-06
14,1234,303,25,3.3871861819741265e-06,3.875901376121324e-06,3.869966684450983e-06
14,1234,303,26,2.895442068347867e-06,3.06591425787877e-06,2.8551547884224807e-06
14,1234,303,27,2.5447986303572955e-06,2.6370627938000283e-06,2.5473299091897516e-06
14,1234,303,28,2.160044877476187e-06,2.3432697289953577e-06,2.267286107794493e-06
14,1234,303,29,1.7563213104791882e-06,1.8624310399433645e-06,2.073634974401205e-06
14,1234,303,30,1.3386670781199958e-06,1.3875566861490798e-06,1.592727105876843e-06
14,1234,303,31,1.284303522281403e-06,1.199899750915187e-06,1.1292723390870018e-06
14,1234,303,32,1.2396553446061207e-06,1.028836868359263e-06,1.029648893628414e-06
14,1234,303,33,9.98982912337945e-07,1.0107433546053906e-06,9.783513369879052e-07
14,1234,303,34,9.327500267990373e-07,9.426791784919044e-07,7.896233605882026e-07
14,1234,303,35,6.562854296156728e-07,7.914980465727569e-07,7.406643256818314e-07
14,1234,303,36,4.305854263554984e-07,5.752006506277232e-07,5.675055564085549e-07
14,1234,303,37,3.418677947235155e-07,4.512646128541729e-07,3.5741680928205255e-07
14,1234,303,38,2.6780220582678924e-07,3.5997598930439975e-07,3.3833372010048747e-07
14,1234,303,39,2.346226061008126e-07,3.209601575912382e-07,2.563865585058757e-07
14,1234,303,40,1.6938590708424562e-07,2.849686773986559e-07,2.2553606223969513e-07
14,1234,303,41,1.2408782661863504e-07,2.3603872812247075e-07,1.8005799284760216e-07
14,1234,303,42,1.137817471875773e-07,1.4253013723118233e-07,1.51383876441848e-07
14,1234,303,43,1.0206596773957382e-07,1.4110009054847466e-07,1.2899479490917353e-07
14,1234,303,44,9.116039834706804e-08,1.206251944670064e-07,1.0448160817299535e-07
14,1234,303,45,6.389835760146172e-08,9.448884208089397e-08,9.025200301158699e-08
14,1234,303,46,5.834442906473875e-08,8.1339024980236e-08,8.892682775967878e-08
14,1234,303,47,5.023601051939928e-08,6.177725741177721e-08,7.324454944491321e-08
14,1234,303,48,4.0268659824160876e-08,4.904287374958676e-08,5.5757885963803144e-08
14,1234,303,49,3.884381333601487e-08,4.8207131758906046e-08,4.982264205810496e-08
14,1234,303,50,2.991067522581415e-08,4.511592317980529e-08,3.6332655048452645e-08
14,1234,303,51,2.8846912034388547e-08,4.3098294998345736e-08,3.441193468111296e-08
14,1234,303,52,1.8298981423892925e-08,3.3509143047060874e-08,2.728475139138199e-08
14,1234,303,53,1.7145231229425587e-08,2.875601806210737e-08,2.638493463626841e-08
14,1234,303,54,1.5525850761488994e-08,2.2905755193513926e-08,2.0004711557554375e-08
14,1234,303,55,1.3845252168250304e-08,1.7786363121658268e-08,1.4803511831691658e-08
14,1234,303,56,1.0484863654708657e-08,1.3837432175425733e-08,1.4407503534374392e-08
14,1234,303,57,1.0138633947425318e-08,1.254705785659412e-08,1.2835739037617768e-08
14,1234,303,58,8.57858035267071e-09,1.1998285759739905e-08,1.0499875328377688e-08
14,1234,303,59,7.740979938208577e-09,1.1493272409060639e-08,9.425689913165802e-09
14,1234,303,60,5.442187323780513e-09,9.526567522355867e-09,8.449741551395352e-09
14,1234,303,61,4.723428639851915e-09,8.680051237714664e-09,8.148481994732753e-09
14,1234,303,62,4.3920340407911395e-09,7.168714086795534e-09,6.628024342981641e-09
14,1234,303,63,3.717237091502125e-09,5.796627374510423e-09,5.2748169210088064e-09
14,1234,303,64,3.632281080295094e-09,5.455282369724459e-09,4.614777433658129e-09
14,1234,303,65,2.663569384024056e-09,4.462486021020967e-09,3.972313515027201e-09
14,1234,303,66,2.5460370601358555e-09,4.118522739807517e-09,3.4020954555934597e-09
14,1234,303,67,2.384380935989681e-09,3.6912720848180375e-09,3.2116648476856565e-09
14,1234,303,68,2.3433782678655297e-09,3.366171488110577e-09,2.1181169027646175e-09
14,1234,303,69,1.848593313197455e-09,3.280099950846145e-09,2.102759050291795e-09
14,1234,303,70,1.4894366483922888e-09,2.8324709708516228e-09,1.7020231879758734e-09
14,1234,303,71,1.3312095222376405e-09,1.879057767305834e-09,1.3318403659955744e-09
